Line Code,Direction,Station Code,Station ID,Chinese Name,English Name,Sequence,latitude,longitude,North,East
EAL,UT,KOT,8,九龍塘,Kowloon Tong,5,22.33694444,114.1761111,22.20.13,114.10.34
EAL,UT,TAW,67,大圍,Tai Wai,6,22.37305556,114.1952778,22.22.23,114.11.43
EAL,UT,SHT,68,沙田,Sha Tin,7,22.3825,114.1875,22.22.57,114.11.15
EAL,UT,FOT,69,火炭,Fo Tan,8,22.39527778,114.1983333,22.23.43,114.11.54
EAL,UT,UNI,71,大學,University,9,22.41333333,114.2102778,22.24.48,114.12.37
EAL,UT,TAP,72,大埔墟,Tai Po Market,10,22.44472222,114.1705556,22.26.41,114.10.14
EAL,UT,TWO,73,太和,Tai Wo,11,22.45111111,114.1611111,22.27.04,114.09.40
EAL,UT,FAN,74,粉嶺,Fanling,12,22.49222222,114.1386111,22.29.32,114.08.19
EAL,UT,SHS,75,上水,Sheung Shui,13,22.50111111,114.1280556,22.30.04,114.07.41
EAL,UT,LOW,76,羅湖,Lo Wu,14,22.52833333,114.1133333,22.31.42,114.06.48
ISL,DT,CHW,37,柴灣,Chai Wan,1,22.26444444,114.2366667,22.15.52,114.14.12
ISL,DT,HFC,36,杏花邨,Heng Fa Chuen,2,22.27694444,114.2397222,22.16.37,114.14.23
ISL,DT,SKW,35,筲箕灣,Shau Kei Wan,3,22.27888889,114.2288889,22.16.44,114.13.44
ISL,DT,SWH,34,西灣河,Sai Wan Ho,4,22.28166667,114.2225,22.16.54,114.13.21
ISL,DT,TAK,33,太古,Tai Koo,5,22.28472222,114.2161111,22.17.05,114.12.58
ISL,DT,QUB,32,鰂魚涌,Quarry Bay,6,22.28777778,114.2097222,22.17.16,114.12.35
ISL,DT,NOP,31,北角,North Point,7,22.29083333,114.2008333,22.17.27,114.12.03
ISL,DT,FOH,30,炮台山,Fortress Hill,8,22.28805556,114.1936111,22.17.17,114.11.37
ISL,DT,TIH,29,天后,Tin Hau,9,22.28277778,114.1916667,22.16.58,114.11.30
ISL,DT,CAB,28,銅鑼灣,Causeway Bay,10,22.28027778,114.1836111,22.16.49,114.11.01
ISL,DT,WAC,27,灣仔,Wan Chai,11,22.27722222,114.1727778,22.16.38,114.10.22
ISL,DT,ADM,2,金鐘,Admiralty,12,22.27888889,114.1647222,22.16.44,114.09.53
ISL,DT,CEN,1,中環,Central,13,22.28194444,114.1575,22.16.55,114.09.27
ISL,DT,SHW,26,上環,Sheung Wan,14,22.28611111,114.1516667,22.17.10,114.09.06
ISL,DT,SYP,81,西營盤,Sai Ying Pun,15,22.28555556,114.1427778,22.17.08,114.08.34
ISL,DT,HKU,82,香港大學,HKU,16,22.28416667,114.1355556,22.17.03,114.08.08
